variable_name,algorithm,fold,variable_importance
CHELSA_bio_06,CTA,RUN5,0
CHELSA_bio_08,CTA,RUN5,0.361
CHELSA_bio_09,CTA,RUN5,0
CHELSA_bio_13,CTA,RUN5,0.548
CHELSA_bio_14,CTA,RUN5,0.189
CHELSA_bio_15,CTA,RUN5,0.01
CHELSA_bio_03,MARS,RUN5,0.023
CHELSA_bio_05,MARS,RUN5,0.019
CHELSA_bio_06,MARS,RUN5,0
CHELSA_bio_08,MARS,RUN5,0.644
CHELSA_bio_09,MARS,RUN5,0.027
CHELSA_bio_13,MARS,RUN5,0
CHELSA_bio_14,MARS,RUN5,0.249
CHELSA_bio_15,MARS,RUN5,0.079
