model,metric,value,taxon
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN4_AllData,ROC,0.998,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,KAPPA,0.816,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,TSS,0.979,Salamandra_atra_south
Salamandra.atra.south_EMwmeanByTSS_mergedAlgo_RUN5_AllData,ROC,0.994,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GLM,boyce,0.406,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GBM,boyce,0.423,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_GAM,boyce,0.647,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_RF,boyce,0.597,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_ANN,boyce,0.57,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_CTA,boyce,0.4,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN1_MARS,boyce,0.642,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GLM,boyce,0.77,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GBM,boyce,0.472,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_GAM,boyce,0.5,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_RF,boyce,0.912,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_ANN,boyce,0.179,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_CTA,boyce,0.3,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN2_MARS,boyce,0.448,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GLM,boyce,0.678,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GBM,boyce,0.708,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_GAM,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_RF,boyce,0.806,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_ANN,boyce,0.721,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_CTA,boyce,0.5,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN3_MARS,boyce,0.735,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GLM,boyce,0.704,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GBM,boyce,0.316,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_GAM,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_RF,boyce,0.457,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_ANN,boyce,0.574,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MAXENT.Phillips,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_CTA,boyce,1,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN4_MARS,boyce,0.33,Salamandra_atra_south
Salamandra.atra.south_AllData_RUN5_GLM,boyce,0.638,Salamandra_atra_south
